	CL2001032010AA	Call	p-value	CL2001032041AA	Call	p-value
36077_at	213.98	A	0.07	47.22	A	0.46
36078_at	153.46	A	0.09	96	A	0.19
36079_at	424.28	P	0.02	235.01	P	0.03
36080_at	618.1	P	0.01	755.18	P	0
36081_s_at	317.26	A	0.14	316.89	A	0.28
36082_at	108.8	A	0.7	45.33	A	0.77
36083_at	458.99	P	0	674.86	P	0
36084_at	466.31	M	0.04	463.19	P	0.03
36085_at	533.89	A	0.28	317.23	A	0.3
36086_at	43.04	A	0.58	4.87	A	0.78
36087_at	98.42	A	0.36	174.64	A	0.25
36088_at	165.34	M	0.04	91.69	A	0.4
36089_at	10.43	A	0.85	6.82	A	0.9
36090_at	289.36	P	0.02	254.65	M	0.04
36091_at	737.47	P	0	819.71	P	0
36092_at	166.11	A	0.14	129.74	A	0.23
36093_at	322.01	A	0.1	271.76	P	0.02
36094_at	553.8	M	0.04	237.67	A	0.11
36095_at	65.07	A	0.87	259.78	A	0.48
36096_at	259.52	P	0.01	332.07	P	0
36097_at	1631.4	P	0	5341.92	P	0
36098_at	677.75	P	0	402.03	P	0
36099_at	176.08	P	0.02	87.17	M	0.05
361_at	285.81	A	0.54	246.38	A	0.48
36100_at	1744.26	P	0	3624.19	P	0
36101_s_at	617.6	P	0.01	329.7	P	0.02
36102_at	1639.93	P	0	1328.58	P	0
36103_at	601.19	P	0.01	837.47	P	0
36104_at	1236.53	P	0	881.63	P	0
36105_at	3179.86	P	0	1848.25	P	0
36106_at	54	A	0.92	95.3	A	0.81
36107_at	701.37	P	0	639.63	P	0
36108_at	1711.06	P	0	25.31	A	0.99
36109_at	236.01	A	0.25	279.37	A	0.23
36110_at	927.04	P	0	1055.62	P	0
36111_s_at	2298.99	P	0	2486.05	P	0
36112_r_at	616.31	P	0	947.08	P	0
36113_s_at	184.7	A	0.42	180.29	A	0.34
36114_r_at	3217.79	A	0.2	1973.61	A	0.22
36115_at	586.51	A	0.11	309.24	P	0.02
36116_at	541.4	P	0.02	494.07	M	0.04
36117_at	172.28	A	0.08	383.28	P	0.02
36118_at	390.01	A	0.09	656.87	P	0.03
36119_at	4868.44	P	0	5154.57	P	0
36120_at	228.93	A	0.16	666.42	A	0.09
36121_at	215.25	A	0.5	446.79	A	0.3
36122_at	1899.79	P	0	915.75	P	0
36123_at	521.02	A	0.22	581.37	A	0.11
36124_at	647.79	P	0	980.02	P	0
36125_s_at	946.28	P	0	732.87	P	0
36126_at	369.17	P	0.02	279.48	P	0
36127_g_at	461.47	A	0.12	606.16	P	0.01
36128_at	2194.7	P	0	1455.75	P	0
36129_at	2320.42	P	0.01	2248.98	P	0.01
36130_f_at	17608.37	P	0	12501.48	P	0
36131_at	6935.12	P	0	3937.57	P	0
36132_at	105.22	A	0.15	61.06	A	0.54
36133_at	85.18	A	0.12	118.46	P	0.01
36134_at	100.93	A	0.42	286.51	P	0.03
36135_at	487.39	P	0	349.33	P	0
36136_at	628.16	P	0	768.4	P	0
36137_at	1863.97	P	0.01	1747.57	P	0
36138_at	6988.99	P	0	5595.08	P	0
36139_at	992.53	P	0.03	1474.23	P	0
36140_at	182.32	A	0.07	27.14	A	0.22
36141_at	73.22	A	0.86	55.18	A	0.82
36142_at	313.92	P	0.02	275.34	P	0
36143_at	125.08	A	0.13	66.13	A	0.52
36144_at	118.07	A	0.66	34.05	A	0.72
36145_at	1179.01	P	0	935.83	P	0
36146_at	633.86	P	0.04	515.92	P	0.02
36147_at	4306.95	P	0	4042.64	P	0
36148_at	552.67	A	0.07	276.74	A	0.2
36149_at	765.1	P	0	868.92	P	0
36150_at	524.87	A	0.46	561.35	A	0.36
36151_at	2934.66	P	0	869.82	P	0
36152_at	2873.85	P	0.01	4152.23	P	0
36153_at	625.99	P	0.02	451.34	P	0
36154_at	566.93	A	0.15	341.51	A	0.15
36155_at	2535.39	P	0	2180.1	P	0
36156_at	6498.31	P	0	4558.82	P	0
36157_at	9.65	A	0.96	31.16	A	0.52
36158_at	795.11	P	0.01	651.59	P	0
36159_s_at	696.37	P	0	798.04	P	0
36160_s_at	258.39	P	0.02	178.01	P	0.01
36161_at	539.4	M	0.04	670.95	P	0.03
36162_at	4196.37	P	0	4764.79	P	0
36163_at	146.84	P	0.01	308.38	P	0
36164_at	341.53	P	0.01	311.22	P	0.01
36165_at	1609.75	P	0	2200.32	P	0
36166_at	1291.13	P	0.01	862.56	P	0.02
36167_at	2636.21	P	0	2931.33	P	0
36168_at	822.51	A	0.25	699.74	A	0.22
36169_at	5791.3	P	0	4904.82	P	0
36170_at	1771.58	P	0	1442.22	P	0
36171_at	1181.97	P	0	1105.91	P	0
36172_s_at	2106.52	P	0	1552.39	P	0
36173_r_at	958.74	M	0.05	755.9	A	0.07
36174_at	2091.54	P	0	1683.63	P	0
36175_s_at	404.48	P	0.01	334.71	P	0
36176_at	114.27	P	0	184.26	P	0.01
36177_at	89.68	A	0.73	257.84	A	0.4
36178_at	305.22	P	0.04	294.81	A	0.18
36179_at	2796.92	P	0	3524.88	P	0
36180_s_at	800.13	P	0.01	595.74	P	0
36181_at	3468.65	P	0	4489.24	P	0
36182_at	33.78	A	0.64	21.5	A	0.75
36183_at	1783.43	A	0.15	1324.98	A	0.2
36184_at	2297.69	P	0.02	1538.4	A	0.07
36185_at	1161.21	P	0.01	755.45	P	0.01
36186_at	1745.32	P	0	2008.92	P	0
36187_at	2585.18	P	0	1771.81	P	0
36188_at	592.61	P	0	485.49	P	0
36189_at	1134.21	P	0	899.91	P	0
36190_at	127.33	P	0.04	110.59	P	0.03
36191_at	90.84	A	0.27	3.57	A	0.92
36192_at	363.45	P	0	610.88	P	0.01
36193_at	288.61	A	0.38	258.88	A	0.3
36194_at	1821.7	P	0	1328.6	P	0
36195_at	203.63	P	0.01	229.09	M	0.05
36196_at	543.46	P	0.02	709.4	P	0.01
36197_at	676.99	P	0.01	285.38	A	0.14
36198_at	856.95	P	0	805.26	P	0
36199_at	1534.24	P	0.03	1901.07	P	0.01
362_at	554.67	P	0	320.41	P	0
36200_at	517.74	A	0.07	614.8	P	0.04
36201_at	1370.47	P	0	1328.74	P	0
36202_at	226.81	A	0.15	259.85	P	0.03
36203_at	1166.16	P	0.01	1339.53	P	0.01
36204_at	966.51	P	0	987.16	P	0
36205_at	188.35	A	0.22	150.68	A	0.3
36206_at	20.27	A	0.95	8.49	A	0.88
36207_at	1225.65	P	0	947.51	P	0
36208_at	1205.49	P	0.01	861.52	P	0
36209_at	1724.8	P	0	3101.25	P	0
36210_g_at	1261.51	P	0	2139.23	P	0.01
36211_at	642.32	A	0.08	539.62	A	0.1
36212_at	164.09	A	0.09	56.71	A	0.27
36213_at	370.55	A	0.44	204.68	A	0.46
36214_at	279.28	A	0.25	396.36	A	0.06
36215_at	193.16	P	0.01	96.71	A	0.09
36216_at	246.5	P	0.01	100.23	M	0.05
36217_at	357.9	P	0.02	132.79	M	0.05
36218_g_at	783.26	P	0	739.37	P	0.01
36219_at	90.39	A	0.82	83.33	A	0.54
36220_at	18.34	A	0.89	14.01	A	0.95
36221_at	143.23	A	0.09	81.65	A	0.28
36222_at	1121.7	A	0.2	1745.89	A	0.09
36223_at	79.97	A	0.46	37.61	A	0.72
36224_g_at	1883.3	P	0	2753.8	P	0
36225_s_at	434.74	P	0.01	345.44	P	0.01
36226_r_at	103.33	A	0.68	135.65	A	0.54
36227_at	1757.35	P	0	1626.8	P	0
36228_at	97.7	A	0.56	82.22	A	0.4
36229_at	916.08	A	0.22	339.97	A	0.42
36230_at	151.12	A	0.13	144.98	A	0.34
36231_at	874.26	P	0.01	390.04	M	0.05
36232_at	13.57	A	0.99	11.52	A	0.97
36233_at	536.13	P	0	392.69	P	0
36234_at	420.93	P	0	578.9	P	0
36235_at	146.68	A	0.12	123.38	P	0.02
36236_at	26.44	A	0.84	69.32	A	0.56
36237_at	426.92	A	0.2	544.42	A	0.08
36238_at	879.91	A	0.42	229.97	A	0.54
36239_at	57.6	A	0.36	68.42	A	0.16
36240_at	83.77	A	0.73	52.03	A	0.84
36241_r_at	106.83	A	0.28	2.24	A	0.93
36242_at	485.43	A	0.16	441.79	A	0.14
36243_at	234.29	A	0.15	28.72	A	0.81
36244_at	23.43	A	0.84	21.46	A	0.91
36245_at	78.29	A	0.22	9.74	A	0.56
36246_at	36.99	A	0.56	13.17	A	0.78
36247_f_at	242.74	A	0.25	484.76	A	0.14
36248_at	461.39	A	0.15	284.61	A	0.3
36249_at	16.31	A	0.77	4.46	A	0.97
36250_at	108.04	A	0.6	129.4	A	0.44
36251_at	53.97	A	0.78	50.72	A	0.86
36252_at	282.33	P	0.02	233.08	A	0.09
36253_at	115.7	A	0.42	30.08	A	0.75
36254_at	5.29	A	0.96	11.28	A	0.78
36255_at	74.64	A	0.44	79.84	A	0.36
36256_at	254.73	A	0.07	259.39	P	0.03
36257_at	71.26	A	0.86	73.61	A	0.75
36258_at	124.82	A	0.18	158.44	P	0.03
36259_at	105.75	A	0.38	232.56	A	0.16
36260_at	69.13	A	0.46	165.61	A	0.5
36261_at	255.64	M	0.05	66.2	A	0.42
36262_at	344.94	P	0.01	109.58	A	0.18
36263_g_at	366.91	A	0.32	56.74	A	0.73
36264_at	182.24	A	0.73	253.39	A	0.64
36265_at	206.57	A	0.23	55.63	A	0.44
36266_at	747.37	A	0.5	219.17	A	0.38
36267_at	55.37	A	0.75	48.25	A	0.58
36268_at	99.42	A	0.62	16.05	A	0.81
36269_at	113.73	A	0.25	85.8	A	0.46
36270_at	224.74	P	0.01	178.43	P	0.04
36271_at	117.91	A	0.85	70.12	A	0.75
36272_r_at	52.4	A	0.5	2.42	A	0.99
36273_at	16.57	A	0.93	14.2	A	0.92
36274_at	181.48	A	0.42	157.01	A	0.15
36275_at	135.49	P	0.01	304.37	P	0
36276_at	1733.55	A	0.08	2421.37	M	0.05
36277_at	743.46	P	0.01	894.36	P	0.01
36278_at	151.77	A	0.7	60.42	A	0.84
36279_at	89.22	A	0.23	141.7	A	0.08
36280_at	117.81	A	0.27	237.38	A	0.16
36281_at	109.68	A	0.42	620.29	A	0.28
36282_at	45.29	A	0.66	121.87	A	0.32
36283_at	17.97	A	0.58	60.32	A	0.46
36284_at	49.35	A	0.89	48.41	A	0.82
36285_at	1217.66	M	0.05	864.86	A	0.11
36286_at	57.23	A	0.81	48.03	A	0.77
36287_at	178.92	A	0.15	245.48	A	0.06
36288_at	69.77	A	0.96	62.77	A	0.98
36289_f_at	437.4	A	0.15	587.63	A	0.19
36290_s_at	67.73	A	0.89	36.69	A	0.9
36291_at	29.24	A	0.88	21.14	A	0.96
36292_at	133.67	A	0.75	135.86	A	0.62
36293_at	43.09	A	0.82	91.95	A	0.4
36294_at	60.74	A	0.32	18.59	A	0.78
36295_at	96.24	A	0.11	149.09	A	0.38
36296_at	25.71	A	1	9.75	A	1
36297_at	196.61	A	0.19	62.01	A	0.66
36298_at	724.76	M	0.04	919.26	P	0.04
36299_at	33.77	A	0.93	37.68	A	0.72
363_at	115.23	A	0.68	324.33	A	0.6
36300_at	29.95	A	0.85	23.88	A	0.87
36301_at	100.75	A	0.91	90.75	A	0.86
36302_f_at	107.74	A	0.2	160.95	A	0.2
36303_f_at	235.78	P	0.01	113.13	A	0.11
36304_at	138.66	A	0.66	253.63	A	0.25
36305_at	40.9	A	0.93	31.52	A	0.97
36306_at	177.09	A	0.46	144	A	0.42
36307_at	696.8	M	0.05	688.01	A	0.07
36308_at	12.06	A	0.9	20.9	A	0.64
36309_at	9.62	A	0.85	2.64	A	0.93
36310_at	100.37	A	0.52	173.77	A	0.32
36311_at	47.37	A	0.64	125.6	A	0.44
36312_at	284.09	A	0.27	43.11	A	0.6
36313_at	286.4	P	0.03	169.51	A	0.07
36314_at	128.25	A	0.6	384.65	A	0.28
36315_i_at	298.51	A	0.11	296.33	A	0.12
36316_r_at	49.93	A	0.46	4.63	A	0.96
36317_at	136.72	A	0.23	115.75	A	0.32
36318_at	38.73	A	0.84	27.35	A	0.85
36319_at	144.9	A	0.22	265.18	P	0.01
36320_at	52.33	A	0.64	6.26	A	0.99
36321_at	9.49	A	0.98	17.38	A	0.87
36322_at	234.13	A	0.19	161.3	A	0.25
36323_at	116.52	A	0.36	114.57	A	0.16
36324_at	32.58	A	0.66	9.73	A	0.93
36325_at	30.74	A	0.64	72.6	A	0.52
36326_at	62.36	A	0.22	7.63	A	0.92
36327_at	17.14	A	0.73	19.06	A	0.78
36328_at	643.72	A	0.3	536.46	A	0.34
36329_at	12.71	A	0.81	11.25	A	0.92
36330_at	1209.79	A	0.07	891.9	A	0.2
36331_at	87.86	A	0.44	87.06	A	0.2
36332_at	831.48	P	0.02	1001.08	M	0.05
36333_at	10481.72	P	0	11794.11	P	0
36334_at	326.6	P	0.02	463.38	P	0.01
36335_at	50.52	A	0.77	84.27	A	0.78
36336_s_at	1129.35	P	0	857.47	P	0
36337_at	107.54	A	0.66	521.33	A	0.16
36338_at	802.52	P	0.04	821.4	M	0.05
36339_at	100.3	A	0.34	165.06	A	0.34
36340_at	110.69	A	0.64	49.18	A	0.85
36341_s_at	77.95	A	0.19	59.47	A	0.34
36342_r_at	7.02	A	0.97	19.13	A	0.72
36343_at	74.15	A	0.27	14.56	A	0.8
36344_at	92.28	A	0.78	69.27	A	0.8
36345_g_at	149.43	A	0.23	205.82	A	0.1
36346_at	33.1	A	0.93	29.3	A	0.85
36347_f_at	316.35	P	0	118.67	A	0.12
36348_r_at	5.8	A	0.93	9.1	A	0.9
36349_at	28.7	A	0.75	187.91	A	0.08
36350_at	82.75	A	0.75	52.91	A	0.6
36351_at	17.89	A	0.93	26.97	A	0.93
36352_at	366.52	A	0.58	26.32	A	0.9
36353_at	28.95	A	0.77	17.36	A	0.88
36354_at	201.01	A	0.56	151.33	A	0.58
36355_at	71.73	A	0.5	267.6	A	0.18
36356_at	66.08	A	0.96	60.36	A	0.97
36357_at	31.92	A	0.66	18.03	A	0.7
36358_at	10937.45	P	0	8716.56	P	0
36359_at	262.01	A	0.12	196.74	A	0.13
36360_at	65.28	A	0.16	34.39	A	0.42
36361_at	463.84	A	0.09	292.18	A	0.4
36362_at	161.73	A	0.25	21.78	A	0.64
36363_at	74.52	A	0.72	47.85	A	0.64
36364_at	29.8	A	0.89	222.57	A	0.46
36365_at	83.49	A	0.14	82.31	P	0.02
36366_at	14.82	A	0.88	3.57	A	0.95
36367_at	16.32	A	0.88	21.34	A	0.9
36368_at	135.41	A	0.5	735.49	A	0.2
36369_at	694.63	P	0	286.45	P	0.02
36370_at	86.84	A	0.52	19.28	A	0.64
36371_at	75.46	A	0.52	153.94	A	0.16
36372_at	1054.83	A	0.07	671.01	A	0.12
36373_at	138.61	A	0.64	95.94	A	0.64
36374_at	25.52	A	0.82	69.77	A	0.42
36375_at	331.31	A	0.07	504.97	P	0.01
36376_at	96.06	A	0.34	59.11	A	0.4
36377_at	328.97	A	0.08	398.69	A	0.1
36378_at	574.5	A	0.23	806.95	A	0.12
36379_at	195.66	A	0.56	266.34	A	0.46
36380_at	135.23	A	0.23	53.35	A	0.2
36381_at	15.84	A	0.99	22.78	A	0.98
36382_at	7.43	A	0.96	9.24	A	0.84
36383_at	198.6	A	0.25	99.92	A	0.62
36384_at	19.85	A	0.97	8.61	A	0.99
36385_at	36.67	A	0.92	15.36	A	0.93
36386_at	50.77	A	0.46	18.05	A	0.94
36387_at	24.05	A	0.92	66.77	A	0.73
36388_at	156.35	A	0.46	18.72	A	0.82
36389_at	37.53	A	0.42	12.09	A	0.77
36390_at	273.85	A	0.09	242.84	A	0.08
36391_at	207.01	P	0.04	569.11	P	0.01
36392_at	13.81	A	0.95	30.93	A	0.7
36393_at	217.58	A	0.18	150.45	A	0.3
36394_at	108.41	A	0.62	58.1	A	0.52
36395_at	140.29	P	0.02	188.78	P	0.01
36396_at	200.37	P	0.04	562.68	P	0.01
36397_at	11.25	A	0.86	6.02	A	0.9
36398_at	463.45	M	0.05	685.32	M	0.05
36399_at	123.49	A	0.16	103.98	A	0.2
364_s_at	56.35	A	0.5	69.43	A	0.16
36400_at	8.75	A	0.9	5.59	A	0.75
36401_at	339.21	A	0.46	89.34	A	0.48
36402_at	58.13	A	0.48	8.28	A	0.84
36403_s_at	171.49	A	0.22	201.09	A	0.15
36404_at	272.62	A	0.13	116.25	A	0.48
36405_s_at	12.19	A	1	13.29	A	0.99
36406_at	369.22	A	0.1	272.53	A	0.25
36407_at	686.97	A	0.48	143.2	A	0.73
36408_at	213.69	A	0.6	68.11	A	0.7
36409_f_at	3.92	A	0.97	18.85	A	0.77
36410_f_at	38.02	A	0.71	292.2	A	0.29
36411_s_at	298.56	A	0.23	391.29	A	0.11
36412_s_at	1111.93	P	0	562.48	P	0.01
36413_at	157.52	A	0.44	157.26	A	0.14
36414_s_at	194.78	A	0.06	71.55	A	0.36
36415_at	11.1	A	0.93	10.84	A	0.97
36416_g_at	102.38	A	0.6	40.71	A	0.87
36417_s_at	796.92	P	0.02	566.72	P	0.04
36418_at	114.7	A	0.78	126.22	A	0.88
36419_at	22.89	A	0.77	18.8	A	0.73
36420_at	18.73	A	0.93	23.55	A	0.9
36421_at	337.5	A	0.11	301.3	A	0.06
36422_s_at	343.12	A	0.58	695.45	A	0.15
36423_at	2133.15	P	0	1429.79	P	0
36424_at	47.59	A	0.81	12.88	A	0.78
36425_at	39.67	A	0.86	32.9	A	0.92
36426_g_at	37.5	A	0.96	20.97	A	0.9
36427_at	203.59	A	0.11	166.89	A	0.28
36428_at	24.54	A	0.96	56.15	A	0.75
36429_at	56.09	A	0.62	77.71	A	0.7
36430_at	31.44	A	0.82	72.79	A	0.68
36431_at	201.56	M	0.05	168.29	A	0.08
36432_at	21.64	A	0.46	60.14	A	0.22
36433_at	53.36	A	0.36	13.66	A	0.56
36434_r_at	2.75	A	0.98	9.24	A	0.95
36435_at	103.69	P	0.02	58.66	A	0.08
36436_at	22.09	A	0.62	91.95	A	0.23
36437_s_at	124.02	A	0.07	40.31	A	0.68
36438_at	23.07	A	0.92	16.36	A	0.94
36439_at	119.31	A	0.34	94.92	A	0.34
36440_at	160.44	A	0.72	562.08	A	0.5
36441_at	28.19	A	0.72	33.34	A	0.52
36442_g_at	163.91	A	0.42	45.24	A	0.66
36443_at	452.05	A	0.18	105.3	A	0.46
36444_s_at	243.05	P	0.01	98.35	A	0.3
36445_at	377.17	A	0.46	292.53	A	0.52
36446_s_at	1163.82	P	0	1270.11	P	0
36447_at	1725.7	P	0	1263.51	P	0
36448_at	140.48	A	0.14	202.36	A	0.13
36449_s_at	120.8	A	0.68	343.07	A	0.54
36450_at	52.83	A	0.75	58.75	A	0.62
36451_at	1348.98	A	0.07	1102.49	A	0.11
36452_at	5053.78	P	0	6103.25	P	0
36453_at	7.23	A	0.99	21.03	A	0.62
36454_at	36.32	A	0.78	46.8	A	0.42
36455_at	13.51	A	1	18.29	A	0.95
36456_at	196.68	P	0.01	175.91	P	0.01
36457_at	232.45	A	0.13	189.18	P	0.03
36458_at	47.49	A	0.38	229.36	A	0.14
36459_at	349.19	P	0.02	233.4	A	0.1
36460_at	58.18	A	0.42	17.99	A	0.87
36461_at	234.05	A	0.06	71.36	A	0.34
36462_at	719.5	A	0.14	891.41	P	0.04
36463_at	347.72	P	0.03	342.46	P	0.03
36464_at	94.46	A	0.48	85.44	A	0.27
36465_at	772.14	P	0	604.52	P	0.01
36466_at	63.54	A	0.5	100.47	A	0.4
36467_g_at	27.3	A	0.87	50.01	A	0.72
36468_at	66.38	A	0.7	149.79	A	0.34
36469_at	259.36	A	0.16	242.75	A	0.14
36470_s_at	12.92	A	0.93	71.3	A	0.44
36471_f_at	150.03	A	0.11	156	P	0.04
36472_at	606.85	P	0	432.11	P	0
36473_at	754.96	A	0.16	729.33	A	0.14
36474_at	258.42	P	0.01	330.81	P	0
36475_at	586.02	P	0.03	362.42	M	0.05
36476_at	124.45	A	0.3	67.29	A	0.6
36477_at	5.75	A	0.96	10.81	A	0.89
36478_at	43.54	A	0.52	21.96	A	0.72
36479_at	594.69	A	0.48	388.58	A	0.52
36480_at	276.62	A	0.23	411.74	P	0.02
36481_at	11.36	A	0.89	15.74	A	0.94
36482_s_at	641.3	A	0.34	650.21	M	0.04
36483_at	99.08	A	0.28	25.36	A	0.73
36484_at	58.32	A	0.27	60.45	A	0.25
36485_at	570.84	A	0.58	385.85	A	0.4
36486_at	18.5	A	0.86	25.22	A	0.86
36487_at	20.51	A	0.68	8.92	A	0.94
36488_at	786.53	P	0.01	643.06	P	0.02
36489_at	443.69	M	0.05	625.66	P	0.04
36490_s_at	219.37	A	0.46	52.37	A	0.7
36491_at	304.52	A	0.07	144.57	A	0.38
36492_at	558.02	P	0.02	581.55	P	0.04
36493_at	1949.06	P	0	1325.26	P	0
36494_at	108.89	P	0.04	100.52	P	0.04
36495_at	4973.59	P	0	6003.97	P	0
36496_at	449.71	P	0	689.62	P	0
36497_at	61.24	A	0.52	200.47	A	0.3
36498_at	72.91	A	0.87	132.6	A	0.78
36499_at	167.47	A	0.22	244.49	M	0.05
365_at	82.65	A	0.3	94.4	P	0.04
36500_at	390.2	P	0.04	341.25	A	0.11
36501_at	175	P	0.02	81.91	A	0.18
36502_at	370.57	P	0	336.05	P	0
36503_at	254.66	A	0.38	1467.66	P	0
36504_at	63.57	A	0.54	303.6	A	0.11
36505_at	42.34	A	0.6	242.55	M	0.05
36506_at	296.18	P	0.02	349.24	P	0.02
36507_at	132.07	A	0.38	455.53	A	0.13
36508_at	352.61	P	0.02	268.29	A	0.16
36509_at	125.28	P	0.04	84.49	P	0.03
36510_at	126.26	A	0.22	11.15	A	0.9
36511_at	879.41	P	0	907.37	P	0
36512_at	35.45	A	0.85	104.6	A	0.42
36513_at	8.45	A	0.78	8.97	A	0.84
36514_at	192.52	P	0	89.12	A	0.07
36515_at	426.63	P	0	548.52	P	0.01
36516_at	352.77	A	0.44	339.15	A	0.42
36517_at	1194.59	P	0	2456.08	P	0
36518_at	382.41	A	0.48	43.78	A	0.64
36519_at	684.42	P	0.03	538.53	M	0.05
36520_at	34.28	A	0.86	41.17	A	0.72
36521_at	89.82	A	0.62	79.65	A	0.44
36522_at	100.1	A	0.98	144.19	A	0.94
36523_at	148.15	A	0.23	112.91	A	0.2
36524_at	227.28	A	0.06	173.03	A	0.3
36525_at	21.48	A	0.82	14.1	A	0.93
36526_at	228.83	P	0.01	353.95	P	0.02
36527_at	64.42	A	0.82	248.58	A	0.19
36528_at	148.66	A	0.3	12.74	A	0.77
36529_at	381.95	A	0.25	561.91	A	0.12
36530_g_at	504.08	A	0.38	376.92	A	0.3
36531_r_at	88.39	A	0.7	152.99	A	0.42
36532_at	112.92	P	0.03	121.33	P	0.01
36533_at	241.56	A	0.18	531.66	P	0
36534_at	213.32	A	0.11	239.35	A	0.13
36535_at	470.42	P	0	591.29	P	0
36536_at	359.12	P	0	277.15	P	0.02
36537_at	500.9	P	0	813.15	P	0
36538_at	217.02	A	0.06	309.13	A	0.07
36539_at	23.9	A	0.82	32.33	A	0.62
36540_at	132.61	A	0.32	132.48	A	0.38
36541_at	42.02	A	0.97	37.85	A	0.97
36542_at	189.3	M	0.05	214.72	P	0.02
36543_at	399.91	P	0	278.89	A	0.08
36544_at	129.33	A	0.36	238.45	A	0.28
36545_s_at	265.18	M	0.05	256.91	A	0.08
36546_r_at	16415.73	A	0.07	18479.19	P	0.02
36547_r_at	705.52	A	0.56	577.16	A	0.56
36548_at	23.59	A	0.62	20.89	A	0.81
36549_at	31.13	A	0.99	58.6	A	0.91
36550_at	1386.19	P	0	1104.82	P	0
36551_at	78.04	A	0.48	67.6	A	0.44
36552_at	347.24	A	0.07	398.81	A	0.07
36553_at	560.28	M	0.05	440.5	P	0.02
36554_at	434.23	P	0.03	326.64	P	0.02
36555_at	917.6	A	0.22	1588.28	M	0.04
36556_at	205.99	A	0.07	94.78	A	0.22
36557_at	738.84	M	0.05	811.13	A	0.07
36558_at	315.49	A	0.14	242.94	A	0.09
36559_g_at	20.47	A	0.66	17.34	A	0.7
36560_at	50.25	A	0.72	51.72	A	0.72
36561_at	284.57	P	0.01	234.01	P	0.01
36562_at	372.46	A	0.46	118.78	A	0.58
36563_at	195.1	A	0.36	14.7	A	0.84
36564_at	1332.67	P	0.01	1230.95	P	0
36565_at	143.79	A	0.68	28.18	A	0.78
36566_at	402.16	A	0.15	553.11	P	0.03
36567_at	75.16	A	0.58	491.04	A	0.15
36568_at	47.21	A	0.95	72.41	A	0.87
36569_at	4818.12	P	0	5417	P	0
36570_at	19.04	A	0.96	88.52	A	0.7
36571_at	988.43	P	0	1179.88	P	0
36572_r_at	704.76	P	0	1298.11	P	0
36573_at	305.62	A	0.18	346.66	A	0.12
36574_at	1266.42	P	0	1012.32	P	0
36575_at	986.61	P	0	1359.14	P	0
36576_at	1648.24	P	0	2180.17	P	0
36577_at	2046.43	P	0	2100.38	P	0
36578_at	411.54	P	0.01	362.73	P	0.02
36579_at	243.61	P	0	443.98	P	0.02
36580_at	297.37	P	0	301.85	P	0.01
36581_at	769.02	P	0	1363.51	P	0
36582_g_at	714.61	P	0	450.99	P	0
36583_at	1056.01	P	0.01	1244.44	P	0.01
36584_at	116.55	A	0.19	54.46	A	0.42
36585_at	2554.29	P	0	2625.78	P	0
36586_at	485.27	P	0.02	398.19	P	0.01
36587_at	5440.84	P	0	6805.9	P	0
36588_at	283.99	P	0	258.22	P	0.01
36589_at	1748.55	P	0	1758.08	P	0
36590_at	103.47	A	0.7	195.96	A	0.64
36591_at	2158.45	P	0.01	1391.23	P	0.03
36592_at	489.24	P	0.02	585.69	M	0.05
36593_at	165.09	A	0.18	116.33	A	0.28
36594_s_at	94.39	A	0.42	114.23	A	0.22
36595_s_at	34.78	A	0.84	4.69	A	0.81
36596_r_at	133.27	A	0.09	105.65	P	0.04
36597_at	192.23	P	0.01	180.18	P	0
36598_s_at	647.79	P	0.01	648.59	P	0.02
36599_at	266.13	A	0.1	127.37	A	0.23
366_s_at	4.76	A	0.56	9.4	A	0.44
36600_at	1452.85	P	0	1374.21	P	0
36601_at	2942.08	P	0	2303.66	P	0
36602_at	166.75	A	0.5	140.95	A	0.52
36603_at	487.17	P	0.01	545.39	P	0.01
36604_at	213.47	A	0.22	442.53	P	0.04
36605_at	126.59	P	0.04	138.61	A	0.07
36606_at	347.48	P	0	362.43	P	0
36607_at	510.29	P	0.01	585.66	P	0
36608_at	2349.11	P	0	3065.97	P	0
36609_at	141.78	A	0.08	110.92	A	0.14
36610_at	187.98	P	0.01	98.51	M	0.04
36611_at	1098.5	P	0	1175.32	P	0
36612_at	53.65	A	0.8	36.08	A	0.73
36613_at	798.64	P	0.03	372.5	A	0.08
36614_at	1317.08	P	0	1421.76	P	0
36615_at	2354.87	P	0.04	2415	P	0.02
36616_at	2464.99	P	0	2640.93	P	0
36617_at	12977.59	P	0	8363.22	P	0
36618_g_at	3795.02	P	0	953.51	P	0
36619_r_at	625.12	A	0.19	476.28	A	0.32
36620_at	1414.29	P	0	2173.94	P	0
36621_at	293.39	A	0.1	55.74	A	0.25
36622_at	786.84	P	0	531.92	P	0
36623_at	1088.6	P	0.02	1420.76	P	0.02
36624_at	2234.52	P	0.01	2785.2	P	0.01
36625_at	581.65	P	0	449.37	P	0
36626_at	755.94	P	0	363.95	P	0
36627_at	2332.56	P	0	4835.98	P	0
36628_at	396.93	P	0	657.96	P	0
36629_at	3922.36	P	0	4680.48	P	0
36630_at	1821.27	P	0.03	1163.79	A	0.07
36631_at	325.44	P	0	189.92	P	0
36632_at	280.21	M	0.04	195.99	A	0.07
36633_at	521.89	P	0	729.3	P	0
36634_at	1508.38	P	0	4632.09	P	0
36635_at	842.61	P	0.01	944.7	P	0
36636_at	482.59	P	0	556.08	P	0
